9391229;Stephan Waack;;https://d-nb.info/831139234;;;;;phd/dnb/Waack83;17/07/2021;;;;;;;;Humboldt University of Berlin, Unter den Linden, Germany;;;;;Raumkomplexität von Wortproblemen endlicher Gruppenpräsentationen.;;1983
9395183;Werner Heinrich;;https://d-nb.info/931999146;;;;;phd/dnb/Heinrich93;17/07/2021;;;;;1-186;;;Technical University Munich, Germany;;;;;Formal description of parallel computer architectures as a basis of optimizing code generation.;;1993
9448610;Simone Benatti;;http://amsdottorato.unibo.it/7448/|https://www.base-search.net/Record/18fb4482248aef0f453ababd14dc4fbccd4f995d01ca27b1bec12176196e712b;;;;;phd/basesearch/Benatti16;02/06/2017;;base-search.net (ftunivbologntesi:oai:amsdottorato.cib.unibo.it:7448);source;;;;;University of Bologna, Italy;;;;;Advanced Interfaces for HMI in Hand Gesture Recognition.;;2016
9402127;Wolfgang Johannsen;;https://d-nb.info/901169692;;;;;phd/dnb/Johannsen90;17/07/2021;;;;;1-197;;;Goethe University Frankfurt, Frankfurt am Main, Germany;;;;;Transaktionen in föderativ verteilten Datenbanken.;;1990
9399753;Martina-Cezara Albutiu;;https://d-nb.info/103527440X|https://d-nb.info/1038114829|https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20130416-1126080-0-9;;;;;phd/dnb/Albutiu13;17/07/2021;;;;;1-138;;;Technical University Munich;;;;;Scalable analytical query processing.;;2013
9452779;Shadi Abu-Surra;;https://hdl.handle.net/10150/193753|https://www.base-search.net/Record/409a41ce2d8a40a4f1f1d7e65ae5a17fcebbc298e8499c45b0a4cfa047988273|https://www.base-search.net/Record/65c604929bedaf7c0d9f20b0a9f75fc2b688aa8e76fa47eabc5ecf412c1d1d14;;;;;phd/basesearch/AbuSurra09;04/05/2022;;base-search.net (ftunivarizona:oai:arizona.openrepository.com:10150/193753);source;;;;;University of Arizona, Tucson, AZ, USA;;;;;Protograph-Based Generalized LDPC Codes: Enumerators, Design, and Applications.;;2009
9372149;Marcia A. Bush;;https://hdl.handle.net/1721.1/15942|https://hdl.handle.net/1721.1/22375;;;;;phd/ndltd/Bush81;04/05/2022;;ndltd.org (oai:dspace.mit.edu:1721.1/15942);source;;;;;Massachusetts Institute of Technology, Cambridge, MA, USA;;;;;Vowel articulation and laryngeal control in the speech of the deaf.;;1981
9374539;Mihai Badoiu;;https://hdl.handle.net/1721.1/37898;;;;;phd/ndltd/Badoiu06;04/05/2022;;ndltd.org (oai:dspace.mit.edu:1721.1/37898);source;;;;;Massachusetts Institute of Technology, Cambridge, MA, USA;;;;;Algorithmic embeddings.;;2006
9448934;Antonios Deligiannakis;;https://hdl.handle.net/1903/2681|https://www.base-search.net/Record/9c5d926a66ab5b4790dd6950f73aa8ed9e8a6f21f056601d3c6acc98cf8af822;;;;;phd/basesearch/Deligiannakis05;04/05/2022;;base-search.net (ftunivmaryland:oai:drum.lib.umd.edu:1903/2681);source;;;;;University of Maryland, College Park, MD, USA;;;;;Accurate Data Approximation in Constrained Environments.;;2005
9411913;Joanna Turner;;https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.763493|https://hdl.handle.net/2134/36202;;;;;phd/ethos/Turner18;05/04/2022;;British Library, EThOS;source;;;;;Loughborough University, UK;;;;;Distributed task allocation optimisation techniques in multi-agent systems.;;2018
9409844;Graeme James Yeo;;http://etheses.bham.ac.uk/7531/|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.715667;;;;;phd/ethos/Yeo17;05/04/2022;;British Library, EThOS;source;;;;;University of Birmingham, UK;;;;;Monitoring railway track condition using inertial sensors on an in-service vehicle.;;2017
9420749;Mohammad Iqbal;;https://tel.archives-ouvertes.fr/tel-00702271;oa;;;;phd/hal/Iqbal11;21/07/2020;;;;;;;;University of Burgundy, Dijon, France;;;;;Polarization stereoscopic imaging prototype. (Prototype d'imagerie polarimétrique stéréoscopique).;;2011
9396613;Sebastian Gerling;0000-0001-6047-3481;http://scidok.sulb.uni-saarland.de/volltexte/2014/5961/|https://d-nb.info/106430575X|https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-59617;;;;;phd/dnb/Gerling14;14/10/2021;;;;;;;;Saarland University;;;;;Plugging in trust and privacy: three systems to improve widely used ecosystems.;;2014
9440690;Martin Schneider 0005;;http://hss.ulb.uni-bonn.de/2010/2035/2035.htm|https://d-nb.info/1001924614|https://d-nb.info/1002104688|https://nbn-resolving.org/urn:nbn:de:hbz:5N-20356;;;;;phd/de/Schneider2009a;17/07/2021;;;;;1-179;;;University of Bonn, Germany;;;;;Methods for real-time visualization and interaction with landforms.;;2009
9382798;Dietrich Heimann;;https://d-nb.info/860562611;;;;;phd/dnb/Heimann85;17/07/2021;;;;;1-160;;;Ludwig Maximilian University of Munich, Germany;;;;;Ein Dreischichten-Modell zur Berechnung mesoskaliger Wind- und Immissionsfelder über komplexem Gelände.;;1985
9396132;Antje Winkler;;https://d-nb.info/1026939631|https://d-nb.info/1067731504|https://nbn-resolving.org/urn:nbn:de:bsz:14-qucosa-84141;;;;;phd/dnb/Winkler11;17/07/2021;;;;;1-212;;;Dresden University of Technology;;;;;Advances in syndrome coding based on stochastic and deterministic matrices for steganography.;;2011
9446068;Jiadong Wu;;https://hdl.handle.net/1853/53890|https://www.base-search.net/Record/58659c18a3bd16b44c899c182a64b3c6049f94c6c4566e28e81f51e25501d1cb;;;;;phd/basesearch/Wu15a;04/05/2022;;base-search.net (ftgeorgiatech:oai:smartech.gatech.edu:1853/53890);source;;;;;Georgia Institute of Technology, Atlanta, GA, USA;;;;;Improving the throughput of novel cluster computing systems.;;2015
9449593;Ji Sun Shin;;https://hdl.handle.net/1903/9173|https://www.base-search.net/Record/6b02b10713ff0766a5bab1c3f94167117413d2887491683fecc99ce9a10a2cc7;;;;;phd/basesearch/Shin09;04/05/2022;;base-search.net (ftunivmaryland:oai:drum.lib.umd.edu:1903/9173);source;;;;;University of Maryland, College Park, MD, USA;;;;;Enhancing Privacy in Cryptographic Protocols.;;2009
9429716;Ivan Marco Lobe Kome;;https://tel.archives-ouvertes.fr/tel-02438991;oa;;;;phd/hal/kome19;21/07/2020;;;;;;;;IMT Atlantique, Cesson Sévigné, France;;;;;Identity and consent in the internet of persons, things and services. (Identité et consentement dans l'internet des personnes, des objets et des services).;;2019
9384417;Jan Wolter 0001;;https://d-nb.info/1070580031|https://nbn-resolving.org/urn:nbn:de:hbz:466:2-15934;;;;;phd/dnb/Wolter15;17/07/2021;;;;;;;;University of Paderborn;;;;;Methoden und Werkzeuge zur Entwicklung dreidimensionaler visueller Sprachen.;;2015
9363279;Babak Moatamed;;https://www.escholarship.org/uc/item/800870jc;;;;;phd/us/Moatamed20;22/06/2022;;;;;;;;University of California, Los Angeles, USA;;;;;Optimization of Reservoir Adaptation for Multivariate Time Series Classification.;;2020
9365000;Amy J. Briggs;;;;;;;phd/us/Briggs95;28/03/2022;;;;;;;;Cornell University, USA;;;;;Efficient Geometric Algorithms for Robot Sensing and Control.;;1995
9433831;Jean-François Rolland;;https://tel.archives-ouvertes.fr/tel-00367994;oa;;;;phd/hal/Rolland08a;21/07/2020;;;;;;;;Paul Sabatier University, Toulouse, France;;;;;Développement et validation d'architectures dynamiques.;;2008
9379291;Michael Rietzler;;https://d-nb.info/1213351642|https://nbn-resolving.org/urn:nbn:de:bsz:289-oparu-32277-7;;;;;phd/dnb/Rietzler20;17/07/2021;;;;;;;;University of Ulm, Germany;;;;;Physical and virtual worlds: towards interaction in distinct realities.;;2020
9398474;Stephan Spiegel;;https://d-nb.info/1075547326|https://nbn-resolving.org/urn:nbn:de:kobv:83-opus4-70240|https://opus4.kobv.de/opus4-tuberlin/frontdoor/index/index/docId/7024;;;;;phd/dnb/Spiegel15;17/07/2021;;;;;;;;Berlin Institute of Technology;;;;;Time series distance measures: segmentation, classification, and clustering of temporal data.;;2015
3049893;Andrea Schalk;;https://d-nb.info/932017894;;;;;books/daglib/0006416;17/07/2021;;;;;1-166;;;Darmstadt University of Technology, Germany;;;;;Algebras for generalized power constructions.;;1993
9440850;Volker Pötzsch;;http://ub.unibw-muenchen.de/dissertationen/ediss/poetzsch-volker/inhalt.pdf|https://d-nb.info/969738781|https://nbn-resolving.org/urn:nbn:de:bvb:706-659;;;;;phd/de/Potzsch2003;17/07/2021;;;;;;;;Bundeswehr University Munich;;;;;Zur aggregierten Abbildung elementarer Gefechtsprozesse in hochauflösenden Gefechtssimulationssystemen.;;2003
9455603;Anna Buttaboni;;https://hdl.handle.net/10589/116164;;;;;phd/it/Buttaboni15;12/10/2022;;;;;;;;Polytechnic University of Milan, Italy;;;;;Strategies for the efficient management of the capacity in fixed-mobile converged networks.;;2015
9376910;Ching Law;;https://hdl.handle.net/1721.1/28711;;;;;phd/ndltd/Law04;04/05/2022;;ndltd.org (oai:dspace.mit.edu:1721.1/28711);source;;;;;Massachusetts Institute of Technology, Cambridge, MA, USA;;;;;Distributed algorithms for dynamic topology construction and their applications.;;2004
9406809;Alexandra E. Moylett;;https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.809892|https://research-information.bris.ac.uk/en/studentTheses/6c465547-4896-4193-b14c-b8c7c0449b3b;;;;;phd/ethos/Moylett20;25/06/2022;;British Library, EThOS;source;;;;;University of Bristol, UK;;;;;Towards a quantum speedup via applications and architectures.;;2020
9439403;Patryk Chamuczynski;;http://webdoc.sub.gwdg.de/diss/2009/chamuczynski/|https://d-nb.info/997943467|https://nbn-resolving.org/urn:nbn:de:gbv:7-webdoc-2138-1;;;;;phd/de/Chamuczynski2009;17/07/2021;;;;;;;;University of Göttingen;;;;;Algorithms and data structures for parametric analysis of real-time systems.;;2009
9409663;Fatemah S. Behbehani;;https://etheses.whiterose.ac.uk/29132/|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.834020;;;;;phd/ethos/Behbehani20;07/04/2022;;British Library, EThOS;source;;;;;University of Leeds, UK;;;;;Optimised vehicular networks with distributed processing.;;2020
9407115;Martin P. Parsley;;http://discovery.ucl.ac.uk/1318103/|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.565368;;;;;phd/ethos/Parsley11;05/04/2022;;British Library, EThOS;source;;;;;University College London, UK;;;;;Simultaneous localisation and mapping with prior information.;;2011
9362737;Cédric Vonesch;;https://doi.org/10.5075/epfl-thesis-4306|https://infoscience.epfl.ch/record/130373;;;;;phd/ch/Vonesch09;02/08/2022;;;;;;;;EPFL, Switzerland;;;;;Fast and automated wavelet-regularized image restoration in fluorescence microscopy.;;2009
9367129;Turadg Aleahmad;;https://doi.org/10.1184/r1/6720152.v1;;;;;phd/us/Aleahmad18;18/07/2022;;;;;;;;Carnegie Mellon University, USA;;;;;Improving Students' Study Practices Through the Principled Design of Research Probes.;;2012
9397351;Peter Köhler;;https://d-nb.info/900007265;;;;;phd/dnb/Kohler87;17/07/2021;;;;;;;;Ingenieurhochschule Köthen, Germany;;;;;Beitrag zur Erarbeitung von CAD/CAM-Lösungen für abwickelbare Bauteile.;;1987
9454259;Alexander K. Hudek;;https://hdl.handle.net/10012/5074|https://www.base-search.net/Record/f3885bb4fea78115e433323656dcfbf0c85b07c7a1bb067b7b73592e4a301b82;;;;;phd/basesearch/Hudek10;04/05/2022;;base-search.net (ftunivwaterloo:oai:uwspace.uwaterloo.ca:10012/5074);source;;;;;University of Waterloo, Ontario, Canada;;;;;Improvements in the Accuracy of Pairwise Genomic Alignment.;;2010
9409883;Ahmed A. Elfituri;;http://eprints.kingston.ac.uk/30600/|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.638843;;;;;phd/ethos/Elfituri14;05/04/2022;;British Library, EThOS;source;;;;;Kingston University, Kingston upon Thames, London, UK;;;;;Optimisation of resources deployment in a call centre by using stochastic data in simulation models.;;2014
9413029;Akanda Wahid-Ul-Ashraf;;http://eprints.bournemouth.ac.uk/34163/|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.809851;;;;;phd/ethos/Ashraf20;09/09/2022;;British Library, EThOS;source;;;;;Bournemouth University, Poole, UK;;;;;Prediction and modelling of complex social networks and their evolution.;;2020
9426960;Oliver Hahm;;https://tel.archives-ouvertes.fr/tel-01505064;oa;;;;phd/hal/Hahm16;21/07/2020;;;;;;;;University of Paris-Saclay, France;;;;;Enabling Energy Efficient Smart Object Networking at Internet-Scale : Experimental Tools, Software Platform, and Information-Centric Networking Protocols. (Internet des Objets : Bases Logicielles et Protocoles Réseaux pour unDéploiement Universel Efficace en Energie).;;2016
9451821;Sriram Satish Tadepalli;;http://scholar.lib.vt.edu/theses/available/etd-02202009-080341/|https://hdl.handle.net/10919/26261|https://www.base-search.net/Record/a6f41fab68d4c82e71c2f8ce829985a2b8c52569a8b40b83ecc8fc7aef2dad0c;;;;;phd/basesearch/Tadepalli09;04/05/2022;;base-search.net (ftvirginiatec:oai:vtechworks.lib.vt.edu:10919/26261);source;;;;;Virginia Tech, Blacksburg, VA, USA;;;;;Schemas of Clustering.;;2009
